"module name","license","repository"
"@azure/abort-controller@1.0.2","MIT","https://github.com/Azure/azure-sdk-for-js"
"@azure/core-auth@1.2.0","MIT","https://github.com/Azure/azure-sdk-for-js"
"@azure/ms-rest-azure-env@1.1.2","MIT","https://github.com/Azure/ms-rest-azure-env"
"@azure/ms-rest-js@1.11.2","MIT","https://github.com/Azure/ms-rest-js"
"@azure/ms-rest-nodeauth@2.0.2","MIT","https://github.com/Azure/ms-rest-nodeauth"
"@babel/code-frame@7.12.11","MIT","https://github.com/babel/babel"
"@babel/helper-validator-identifier@7.12.11","MIT","https://github.com/babel/babel"
"@babel/highlight@7.12.13","MIT","https://github.com/babel/babel"
"@babel/runtime@7.12.18","MIT","https://github.com/babel/babel"
"@eslint/eslintrc@0.3.0","MIT","https://github.com/eslint/eslintrc"
"@formio/bootstrap3@2.7.0","MIT","https://github.com/formio/bootstrap3"
"@formio/semantic@2.5.0","MIT","https://github.com/formio/semantic"
"@nodelib/fs.scandir@2.1.4","MIT","https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.scandir"
"@nodelib/fs.stat@2.0.4","MIT","https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.stat"
"@nodelib/fs.walk@1.2.6","MIT","https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.walk"
"@sphinxxxx/color-conversion@2.2.2","ISC","https://github.com/Sphinxxxx/color-conversion"
"@types/body-parser@1.19.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/bson@4.0.3","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/connect@3.4.34","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/cookiejar@2.1.2","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/cors@2.8.10","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/debug@4.1.5","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/express-serve-static-core@4.17.18","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/express@4.17.11","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/faker@5.1.7","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/json-schema@7.0.7","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/knex@0.16.1","MIT","https://github.com/tgriesser/knex"
"@types/lodash@4.14.168","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/method-override@0.0.31","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/mime@1.3.2","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/mocha@8.2.1","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/mongodb@3.6.8","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/mssql@6.0.7","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/mysql@2.15.17","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/node-fetch@2.5.8","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/node@12.20.2","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/node@14.14.29","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/node@8.10.66","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/pg@7.14.10","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/qs@6.9.5","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/range-parser@1.2.3","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/readable-stream@2.3.9","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/serve-static@1.13.9","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/superagent@4.1.10","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/supertest@2.0.10","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/tedious@4.0.3","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/uuid@8.3.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/vue@2.0.0","MIT","https://github.com/vuejs/vue"
"@typescript-eslint/eslint-plugin@4.15.1","MIT","https://github.com/typescript-eslint/typescript-eslint"
"@typescript-eslint/experimental-utils@4.15.1","MIT","https://github.com/typescript-eslint/typescript-eslint"
"@typescript-eslint/parser@4.15.1","BSD-2-Clause","https://github.com/typescript-eslint/typescript-eslint"
"@typescript-eslint/scope-manager@4.15.1","MIT","https://github.com/typescript-eslint/typescript-eslint"
"@typescript-eslint/types@4.15.1","MIT","https://github.com/typescript-eslint/typescript-eslint"
"@typescript-eslint/typescript-estree@4.15.1","BSD-2-Clause","https://github.com/typescript-eslint/typescript-eslint"
"@typescript-eslint/visitor-keys@4.15.1","MIT","https://github.com/typescript-eslint/typescript-eslint"
"@ungap/promise-all-settled@1.1.2","ISC","https://github.com/ungap/promise-all-settled"
"@vendia/serverless-express@3.4.0","Apache-2.0","https://github.com/vendia/serverless-express"
"JSONStream@1.3.5","(MIT OR Apache-2.0)","https://github.com/dominictarr/JSONStream"
"a-sync-waterfall@1.0.1","MIT","https://github.com/hydiak/a-sync-waterfall"
"abab@1.0.4","ISC","https://github.com/jsdom/abab"
"abort-controller@3.0.0","MIT","https://github.com/mysticatea/abort-controller"
"accepts@1.3.7","MIT","https://github.com/jshttp/accepts"
"access-control@1.0.1","MIT","https://github.com/primus/access-control"
"acorn-globals@1.0.9","MIT","https://github.com/ForbesLindesay/acorn-globals"
"acorn-jsx@5.3.1","MIT","https://github.com/acornjs/acorn-jsx"
"acorn@2.7.0","MIT","https://github.com/ternjs/acorn"
"acorn@7.4.1","MIT","https://github.com/acornjs/acorn"
"adal-node@0.1.28","Apache-2.0","https://github.com/AzureAD/azure-activedirectory-library-for-nodejs"
"addressparser@1.0.1","MIT","https://github.com/andris9/addressparser"
"adm-zip@0.5.3","MIT","https://github.com/cthackers/adm-zip"
"agent-base@4.2.1","MIT","https://github.com/TooTallNate/node-agent-base"
"agent-base@4.3.0","MIT","https://github.com/TooTallNate/node-agent-base"
"agent-base@6.0.2","MIT","https://github.com/TooTallNate/node-agent-base"
"ajv@6.12.6","MIT","https://github.com/ajv-validator/ajv"
"ajv@7.1.1","MIT","https://github.com/ajv-validator/ajv"
"alfresco-js-api-node@2.6.1","Apache-2.0","https://github.com/Alfresco/alfresco-js-api"
"align-text@0.1.4","MIT","https://github.com/jonschlinkert/align-text"
"ansi-colors@4.1.1","MIT","https://github.com/doowb/ansi-colors"
"ansi-escapes@1.4.0","MIT","https://github.com/sindresorhus/ansi-escapes"
"ansi-regex@2.1.1","MIT","https://github.com/chalk/ansi-regex"
"ansi-regex@3.0.0","MIT","https://github.com/chalk/ansi-regex"
"ansi-regex@5.0.0","MIT","https://github.com/chalk/ansi-regex"
"ansi-styles@2.2.1","MIT","https://github.com/chalk/ansi-styles"
"ansi-styles@3.2.1","MIT","https://github.com/chalk/ansi-styles"
"ansi-styles@4.3.0","MIT","https://github.com/chalk/ansi-styles"
"anymatch@3.1.1","ISC","https://github.com/micromatch/anymatch"
"append-field@1.0.0","MIT","https://github.com/LinusU/node-append-field"
"arg@4.1.3","MIT","https://github.com/zeit/arg"
"argparse@1.0.10","MIT","https://github.com/nodeca/argparse"
"argparse@2.0.1","Python-2.0","https://github.com/nodeca/argparse"
"arr-diff@4.0.0","MIT","https://github.com/jonschlinkert/arr-diff"
"arr-flatten@1.1.0","MIT","https://github.com/jonschlinkert/arr-flatten"
"arr-union@3.1.0","MIT","https://github.com/jonschlinkert/arr-union"
"array-each@1.0.1","MIT","https://github.com/jonschlinkert/array-each"
"array-filter@1.0.0","MIT","https://github.com/juliangruber/array-filter"
"array-flatten@1.1.1","MIT","https://github.com/blakeembrey/array-flatten"
"array-slice@1.1.0","MIT","https://github.com/jonschlinkert/array-slice"
"array-union@2.1.0","MIT","https://github.com/sindresorhus/array-union"
"array-unique@0.3.2","MIT","https://github.com/jonschlinkert/array-unique"
"asap@2.0.6","MIT","https://github.com/kriskowal/asap"
"asn1@0.2.4","MIT","https://github.com/joyent/node-asn1"
"assert-plus@1.0.0","MIT","https://github.com/mcavage/node-assert-plus"
"assertion-error@1.0.0","MIT","https://github.com/chaijs/assertion-error"
"assign-symbols@1.0.0","MIT","https://github.com/jonschlinkert/assign-symbols"
"ast-types@0.14.2","MIT","https://github.com/benjamn/ast-types"
"astral-regex@2.0.0","MIT","https://github.com/kevva/astral-regex"
"async-limiter@1.0.1","MIT","https://github.com/strml/async-limiter"
"async@0.2.10","MIT","https://github.com/caolan/async"
"async@0.9.2","MIT","https://github.com/caolan/async"
"async@1.5.2","MIT","https://github.com/caolan/async"
"async@2.6.3","MIT","https://github.com/caolan/async"
"async@3.2.0","MIT","https://github.com/caolan/async"
"asyncemit@3.0.1","MIT","https://github.com/primus/asyncemit"
"asynckit@0.4.0","MIT","https://github.com/alexindigo/asynckit"
"at-least-node@1.0.0","ISC","https://github.com/RyanZim/at-least-node"
"atoa@1.0.0","MIT","https://github.com/bevacqua/atoa"
"atob@2.1.2","(MIT OR Apache-2.0)","git://git.coolaj86.com/coolaj86/atob.js"
"aurelia-binding@1.7.3","MIT","https://github.com/aurelia/binding"
"aurelia-binding@2.5.4","MIT","https://github.com/aurelia/binding"
"aurelia-dependency-injection@1.5.2","MIT","https://github.com/aurelia/dependency-injection"
"aurelia-event-aggregator@1.0.3","MIT","https://github.com/aurelia/event-aggregator"
"aurelia-framework@1.3.1","MIT","https://github.com/aurelia/framework"
"aurelia-loader@1.0.2","MIT","https://github.com/aurelia/loader"
"aurelia-logging@1.5.2","MIT","https://github.com/aurelia/logging"
"aurelia-metadata@1.0.7","MIT","https://github.com/aurelia/metadata"
"aurelia-pal@1.8.2","MIT","https://github.com/aurelia/pal"
"aurelia-path@1.1.5","MIT","https://github.com/aurelia/path"
"aurelia-task-queue@1.3.3","MIT","https://github.com/aurelia/task-queue"
"aurelia-templating-binding@1.5.3","MIT","https://github.com/aurelia/templating-binding"
"aurelia-templating@1.10.4","MIT","https://github.com/aurelia/templating"
"autocompleter@6.1.0","MIT","https://github.com/kraaden/autocomplete"
"available-typed-arrays@1.0.2","MIT","https://github.com/inspect-js/available-typed-arrays"
"aws-serverless-express@3.4.0","Apache-2.0","https://github.com/awslabs/aws-serverless-express"
"aws-sign2@0.7.0","Apache-2.0","https://github.com/mikeal/aws-sign"
"aws4@1.11.0","MIT","https://github.com/mhart/aws4"
"axios@0.21.1","MIT","https://github.com/axios/axios"
"babel-code-frame@6.26.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-code-frame"
"babel-generator@6.26.1","MIT","https://github.com/babel/babel/tree/master/packages/babel-generator"
"babel-messages@6.23.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-messages"
"babel-polyfill@6.23.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-polyfill"
"babel-polyfill@6.26.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-polyfill"
"babel-runtime@6.26.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-runtime"
"babel-traverse@6.26.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-traverse"
"babel-types@6.26.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-types"
"babylon@6.18.0","MIT","https://github.com/babel/babylon"
"balanced-match@1.0.0","MIT","https://github.com/juliangruber/balanced-match"
"base@0.11.2","MIT","https://github.com/node-base/base"
"basic-auth-connect@1.0.0","MIT","https://github.com/expressjs/basic-auth-connect"
"basic-auth@2.0.1","MIT","https://github.com/jshttp/basic-auth"
"bcrypt-pbkdf@1.0.2","BSD-3-Clause","https://github.com/joyent/node-bcrypt-pbkdf"
